ledger_id,ticker,close_utc,era,ledger_tag,entry_ask_cents,exit_price_cents,settlement_value_cents,official_winner,booked_side,contracts,fee_methodology,fee_cents,stored_pnl_cents,recomputed_hold_pnl_cents,hold_identity,hold_vs_early_exit,official_win,calls_recorded,research_quality,shadow70_entry,shadow70_pnl,secs_left_at_entry
1,KXBTC15M-26SEP050845-45,2026-09-05T12:45:00Z,A0_pre_floor,main_paper,80,78,,UP,,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,8,-82,NO,EARLY_EXIT_OR_MULTILEG,,2,valid,,,
11,KXBTC15M-26SEP051115-15,2026-09-05T15:15:00Z,A0_pre_floor,main_paper,74,75,,DOWN,,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,-1,-76,NO,EARLY_EXIT_OR_MULTILEG,,1,valid,,,
21,KXBTC15M-26SEP051345-45,2026-09-05T17:45:00Z,A0_pre_floor,main_paper,52,36,,UP,,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,-18,-54,NO,EARLY_EXIT_OR_MULTILEG,,1,valid,,,
29,KXBTC15M-26SEP051545-45,2026-09-05T19:45:00Z,A0_pre_floor,main_paper,82,82,,DOWN,,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,2,-84,NO,EARLY_EXIT_OR_MULTILEG,,3,valid,,,
32,KXBTC15M-26SEP051630-30,2026-09-05T20:30:00Z,A0_pre_floor,main_paper,57,59,,DOWN,,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,0,-59,NO,SCRATCH,,1,valid,,,
37,KXBTC15M-26SEP051745-45,2026-09-05T21:45:00Z,A0_pre_floor,main_paper,68,69,,UP,,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,-7,-70,NO,EARLY_EXIT_OR_MULTILEG,,2,valid,,,
40,KXBTC15M-26SEP051830-30,2026-09-05T22:30:00Z,A0_pre_floor,main_paper,56,35,,DOWN,,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,-23,-58,NO,EARLY_EXIT_OR_MULTILEG,,1,valid,,,
41,KXBTC15M-26SEP051845-45,2026-09-05T22:45:00Z,A0_pre_floor,main_paper,82,99,,DOWN,,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,15,-84,NO,EARLY_EXIT_OR_MULTILEG,,1,valid,,,
42,KXBTC15M-26SEP051900-00,2026-09-05T23:00:00Z,A0_pre_floor,main_paper,37,19,,UP,,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,-20,-39,NO,EARLY_EXIT_OR_MULTILEG,,1,valid,,,
44,KXBTC15M-26SEP051930-30,2026-09-05T23:30:00Z,A0_pre_floor,main_paper,72,74,,UP,,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,1,-74,NO,EARLY_EXIT_OR_MULTILEG,,3,valid,,,
45,KXBTC15M-26SEP051945-45,2026-09-05T23:45:00Z,A0_pre_floor,main_paper,73,76,,UP,,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,1,-75,NO,EARLY_EXIT_OR_MULTILEG,,1,valid,,,
52,KXBTC15M-26SEP052130-30,2026-09-06T01:30:00Z,A0_pre_floor,main_paper,73,77,,DOWN,,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,2,-75,NO,EARLY_EXIT_OR_MULTILEG,,1,valid,,,
53,KXBTC15M-26SEP052145-45,2026-09-06T01:45:00Z,A0_pre_floor,main_paper,63,82,,UP,,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,17,-65,NO,EARLY_EXIT_OR_MULTILEG,,1,valid,,,
56,KXBTC15M-26SEP052230-30,2026-09-06T02:30:00Z,A0_pre_floor,main_paper,65,62,,DOWN,,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,-5,-67,NO,EARLY_EXIT_OR_MULTILEG,,1,valid,,,
63,KXBTC15M-26SEP060015-15,2026-09-06T04:15:00Z,A0_pre_floor,main_paper,87,91,,DOWN,,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),1,3,-88,NO,EARLY_EXIT_OR_MULTILEG,,1,valid,,,
64,KXBTC15M-26SEP060030-30,2026-09-06T04:30:00Z,A0_pre_floor,main_paper,79,86,,DOWN,,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,5,-81,NO,EARLY_EXIT_OR_MULTILEG,,1,valid,,,
66,KXBTC15M-26SEP060100-00,2026-09-06T05:00:00Z,A0_pre_floor,main_paper,41,42,,DOWN,,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,-5,-43,NO,EARLY_EXIT_OR_MULTILEG,,2,valid,,,
68,KXBTC15M-26SEP060130-30,2026-09-06T05:30:00Z,A0_pre_floor,main_paper,47,48,,UP,,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,-15,-49,NO,EARLY_EXIT_OR_MULTILEG,,2,valid,,,
72,KXBTC15M-26SEP060230-30,2026-09-06T06:30:00Z,A0_pre_floor,main_paper,65,65,,DOWN,,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,-9,-67,NO,EARLY_EXIT_OR_MULTILEG,,2,valid,,,
73,KXBTC15M-26SEP060245-45,2026-09-06T06:45:00Z,A0_pre_floor,main_paper,61,63,,DOWN,,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,0,-63,NO,SCRATCH,,1,valid,,,
81,KXBTC15M-26SEP060445-45,2026-09-06T08:45:00Z,A0_pre_floor,main_paper,60,61,,DOWN,,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,-2,-62,NO,EARLY_EXIT_OR_MULTILEG,,7,valid,,,
85,KXBTC15M-26SEP060545-45,2026-09-06T09:45:00Z,A0_pre_floor,main_paper,97,98,,DOWN,,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),1,0,-98,NO,SCRATCH,,1,valid,,,
95,KXBTC15M-26SEP060815-15,2026-09-06T12:15:00Z,A0_pre_floor,main_paper,70,70,,DOWN,,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,-57,-72,NO,EARLY_EXIT_OR_MULTILEG,,2,valid,,,
96,KXBTC15M-26SEP060830-30,2026-09-06T12:30:00Z,A0_pre_floor,main_paper,76,68,,UP,,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,-10,-78,NO,EARLY_EXIT_OR_MULTILEG,,1,valid,,,
115,KXBTC15M-26SEP061315-15,2026-09-06T17:15:00Z,A0_pre_floor,main_paper,86,,100,DOWN,DOWN,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),1,13,13,YES,HOLD,1,1,valid,,,
116,KXBTC15M-26SEP061330-30,2026-09-06T17:30:00Z,A0_pre_floor,main_paper,70,,100,UP,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,28,28,YES,HOLD,1,1,valid,,,
119,KXBTC15M-26SEP061415-15,2026-09-06T18:15:00Z,A0_pre_floor,main_paper,84,,100,UP,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),1,15,15,YES,HOLD,1,1,valid,,,
144,KXBTC15M-26SEP062030-30,2026-09-07T00:30:00Z,A0_pre_floor,main_paper,91,,100,DOWN,DOWN,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),1,8,8,YES,HOLD,1,1,valid,,,
153,KXBTC15M-26SEP062245-45,2026-09-07T02:45:00Z,A0_pre_floor,main_paper,81,,100,UP,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,17,17,YES,HOLD,1,1,valid,,,
161,KXBTC15M-26SEP070045-45,2026-09-07T04:45:00Z,A0_pre_floor,main_paper,51,,0,UP,DOWN,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,-53,-53,YES,HOLD,0,1,valid,,,
172,KXBTC15M-26SEP070330-30,2026-09-07T07:30:00Z,A0_pre_floor,main_paper,82,,100,DOWN,DOWN,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,16,16,YES,HOLD,1,1,valid,,,
179,KXBTC15M-26SEP070515-15,2026-09-07T09:15:00Z,A0_pre_floor,main_paper,95,,100,UP,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),1,4,4,YES,HOLD,1,1,valid,,,
186,KXBTC15M-26SEP070700-00,2026-09-07T11:00:00Z,A0_pre_floor,main_paper,54,,0,DOWN,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,-56,-56,YES,HOLD,0,1,valid,,,
191,KXBTC15M-26SEP070815-15,2026-09-07T12:15:00Z,A0_pre_floor,main_paper,76,,100,UP,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,22,22,YES,HOLD,1,1,valid,,,
192,KXBTC15M-26SEP070830-30,2026-09-07T12:30:00Z,A0_pre_floor,main_paper,85,,100,UP,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),1,14,14,YES,HOLD,1,1,valid,,,
193,KXBTC15M-26SEP070845-45,2026-09-07T12:45:00Z,A0_pre_floor,main_paper,95,,100,DOWN,DOWN,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),1,4,4,YES,HOLD,1,1,valid,,,
197,KXBTC15M-26SEP070945-45,2026-09-07T13:45:00Z,A0_pre_floor,main_paper,94,,100,DOWN,DOWN,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),1,5,5,YES,HOLD,1,1,valid,,,
199,KXBTC15M-26SEP071015-15,2026-09-07T14:15:00Z,A0_pre_floor,main_paper,83,,100,DOWN,DOWN,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),1,16,16,YES,HOLD,1,1,valid,,,
205,KXBTC15M-26SEP071145-45,2026-09-07T15:45:00Z,A0_pre_floor,main_paper,86,,100,DOWN,DOWN,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),1,13,13,YES,HOLD,1,1,valid,,,
214,KXBTC15M-26SEP071400-00,2026-09-07T18:00:00Z,A0_pre_floor,main_paper,64,,100,UP,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,34,34,YES,HOLD,1,1,valid,,,
216,KXBTC15M-26SEP071430-30,2026-09-07T18:30:00Z,A0_pre_floor,main_paper,61,,0,DOWN,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,-63,-63,YES,HOLD,0,1,valid,,,
221,KXBTC15M-26SEP071545-45,2026-09-07T19:45:00Z,A0_pre_floor,main_paper,72,,100,UP,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,26,26,YES,HOLD,1,1,valid,,,
223,KXBTC15M-26SEP071615-15,2026-09-07T20:15:00Z,A0_pre_floor,main_paper,95,,100,DOWN,DOWN,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),1,4,4,YES,HOLD,1,1,valid,,,
226,KXBTC15M-26SEP071700-00,2026-09-07T21:00:00Z,A0_pre_floor,main_paper,91,,100,UP,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),1,8,8,YES,HOLD,1,1,valid,,,
230,KXBTC15M-26SEP071800-00,2026-09-07T22:00:00Z,A0_pre_floor,main_paper,64,,0,DOWN,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,-66,-66,YES,HOLD,0,1,valid,,,
233,KXBTC15M-26SEP071845-45,2026-09-07T22:45:00Z,A0_pre_floor,main_paper,96,,100,DOWN,DOWN,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),1,3,3,YES,HOLD,1,1,valid,,,
243,KXBTC15M-26SEP072115-15,2026-09-08T01:15:00Z,A0_pre_floor,main_paper,69,,100,UP,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,29,29,YES,HOLD,1,1,valid,,,
277,KXBTC15M-26SEP080545-45,2026-09-08T09:45:00Z,A0_pre_floor,main_paper,95,,100,UP,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),1,4,4,YES,HOLD,1,1,valid,,,
278,KXBTC15M-26SEP080600-00,2026-09-08T10:00:00Z,A0_pre_floor,main_paper,49,,100,UP,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,49,49,YES,HOLD,1,1,valid,,,
280,KXBTC15M-26SEP080630-30,2026-09-08T10:30:00Z,A0_pre_floor,main_paper,93,,100,UP,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),1,6,6,YES,HOLD,1,1,valid,,,
310,KXBTC15M-26SEP081400-00,2026-09-08T18:00:00Z,A0_pre_floor,main_paper,65,,0,DOWN,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,-67,-67,YES,HOLD,0,1,valid,,,
312,KXBTC15M-26SEP081430-30,2026-09-08T18:30:00Z,A0_pre_floor,main_paper,92,,100,UP,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),1,7,7,YES,HOLD,1,1,valid,,,
317,KXBTC15M-26SEP081545-45,2026-09-08T19:45:00Z,A0_pre_floor,main_paper,54,,0,DOWN,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,-56,-56,YES,HOLD,0,1,valid,,,
326,KXBTC15M-26SEP081800-00,2026-09-08T22:00:00Z,A1_floor70,main_paper,90,,100,DOWN,DOWN,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),1,9,9,YES,HOLD,1,1,valid,,,
328,KXBTC15M-26SEP081830-30,2026-09-08T22:30:00Z,A1_floor70,main_paper,84,,100,UP,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),1,15,15,YES,HOLD,1,1,valid,,,
330,KXBTC15M-26SEP081900-00,2026-09-08T23:00:00Z,A1_floor70,main_paper,88,,100,UP,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),1,11,11,YES,HOLD,1,1,valid,,,
331,KXBTC15M-26SEP081915-15,2026-09-08T23:15:00Z,A1_floor70,main_paper,86,,100,DOWN,DOWN,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),1,13,13,YES,HOLD,1,1,valid,,,
335,KXBTC15M-26SEP082015-15,2026-09-09T00:15:00Z,A1_floor70,main_paper,80,,100,UP,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,18,18,YES,HOLD,1,1,valid,,,
338,KXBTC15M-26SEP082100-00,2026-09-09T01:00:00Z,A1_floor70,main_paper,76,,100,UP,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,22,22,YES,HOLD,1,1,valid,,,
339,KXBTC15M-26SEP082115-15,2026-09-09T01:15:00Z,A1_floor70,main_paper,72,,0,DOWN,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,-74,-74,YES,HOLD,0,1,valid,,,
341,KXBTC15M-26SEP082145-45,2026-09-09T01:45:00Z,A1_floor70,main_paper,82,,100,UP,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,16,16,YES,HOLD,1,1,valid,,,
343,KXBTC15M-26SEP082215-15,2026-09-09T02:15:00Z,A1_floor70,main_paper,72,,0,DOWN,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,-74,-74,YES,HOLD,0,1,valid,,,
345,KXBTC15M-26SEP082245-45,2026-09-09T02:45:00Z,A1_floor70,main_paper,70,,100,DOWN,DOWN,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,28,28,YES,HOLD,1,1,valid,,,
347,KXBTC15M-26SEP082315-15,2026-09-09T03:15:00Z,A1_floor70,main_paper,71,,100,DOWN,DOWN,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,27,27,YES,HOLD,1,1,valid,,,
351,KXBTC15M-26SEP090015-15,2026-09-09T04:15:00Z,A1_floor70,main_paper,94,,100,UP,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),1,5,5,YES,HOLD,1,1,valid,,,
352,KXBTC15M-26SEP090030-30,2026-09-09T04:30:00Z,A1_floor70,main_paper,90,,100,UP,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),1,9,9,YES,HOLD,1,1,valid,,,
361,KXBTC15M-26SEP090245-45,2026-09-09T06:45:00Z,A1_floor70,main_paper,75,,100,UP,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,23,23,YES,HOLD,1,1,valid,,,
381,KXBTC15M-26SEP090745-45,2026-09-09T11:45:00Z,A1_floor70,main_paper,72,,100,UP,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,26,26,YES,HOLD,1,1,valid,,,
385,KXBTC15M-26SEP090845-45,2026-09-09T12:45:00Z,A1_floor70,main_paper,92,,100,UP,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),1,7,7,YES,HOLD,1,1,valid,,,
411,KXBTC15M-26SEP091530-30,2026-09-09T19:30:00Z,A1_floor70,main_paper,70,,100,UP,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,28,28,YES,HOLD,1,1,valid,,,
420,KXBTC15M-26SEP091745-45,2026-09-09T21:45:00Z,A1_floor70,main_paper,85,,100,DOWN,DOWN,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),1,14,14,YES,HOLD,1,1,valid,,,
421,KXBTC15M-26SEP091800-00,2026-09-09T22:00:00Z,A1_floor70,main_paper,80,,100,DOWN,DOWN,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,18,18,YES,HOLD,1,1,valid,,,
426,KXBTC15M-26SEP091915-15,2026-09-09T23:15:00Z,A1_floor70,main_paper,97,,100,UP,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),1,2,2,YES,HOLD,1,1,valid,,,
433,KXBTC15M-26SEP092100-00,2026-09-10T01:00:00Z,A1_floor70,main_paper,72,,0,UP,DOWN,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,-74,-74,YES,HOLD,0,1,valid,,,
434,KXBTC15M-26SEP092115-15,2026-09-10T01:15:00Z,A1_floor70,main_paper,81,,100,UP,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,17,17,YES,HOLD,1,1,valid,,,
436,KXBTC15M-26SEP092145-45,2026-09-10T01:45:00Z,A1_floor70,main_paper,82,,100,DOWN,DOWN,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,16,16,YES,HOLD,1,1,valid,,,
447,KXBTC15M-26SEP100030-30,2026-09-10T04:30:00Z,A1_floor70,main_paper,75,,100,UP,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,23,23,YES,HOLD,1,1,valid,,,
450,KXBTC15M-26SEP100115-15,2026-09-10T05:15:00Z,A1_floor70,main_paper,75,,100,UP,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,23,23,YES,HOLD,1,1,valid,,,
453,KXBTC15M-26SEP100200-00,2026-09-10T06:00:00Z,A1_floor70,main_paper,70,,100,UP,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,28,28,YES,HOLD,1,1,valid,,,
454,KXBTC15M-26SEP100215-15,2026-09-10T06:15:00Z,A1_floor70,main_paper,77,,100,DOWN,DOWN,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,21,21,YES,HOLD,1,1,valid,,,
455,KXBTC15M-26SEP100230-30,2026-09-10T06:30:00Z,A1_floor70,main_paper,71,,100,DOWN,DOWN,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,27,27,YES,HOLD,1,1,valid,,,
456,KXBTC15M-26SEP100245-45,2026-09-10T06:45:00Z,A1_floor70,main_paper,75,,0,DOWN,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),2,-77,-77,YES,HOLD,0,1,valid,,,
457,KXBTC15M-26SEP100300-00,2026-09-10T07:00:00Z,A1_floor70,main_paper,87,,100,UP,UP,1,ceil(7·p·(1−p)) whole cent (recomputed; not stored),1,12,12,YES,HOLD,1,1,valid,,,
