ticker,close_utc,shadow70_entry_cents,shadow70_pnl_cents,official_winner,live_entry_cents,live_pnl_cents,cell
KXBTC15M-26SEP102300-00,2026-09-11T03:00:00Z,77,-79,DOWN,,,shadow70_only
KXBTC15M-26SEP111445-45,2026-09-11T18:45:00Z,71,-73,DOWN,,,shadow70_only
KXBTC15M-26SEP111530-30,2026-09-11T19:30:00Z,75,23,UP,,,shadow70_only
KXBTC15M-26SEP111830-30,2026-09-11T22:30:00Z,73,-75,DOWN,,,shadow70_only
KXBTC15M-26SEP111845-45,2026-09-11T22:45:00Z,70,-72,UP,,,shadow70_only
KXBTC15M-26SEP112315-15,2026-09-12T03:15:00Z,72,26,UP,,,shadow70_only
KXBTC15M-26SEP120115-15,2026-09-12T05:15:00Z,76,-78,UP,,,shadow70_only
KXBTC15M-26SEP132145-45,2026-09-14T01:45:00Z,74,-76,DOWN,,,shadow70_only
KXBTC15M-26SEP140100-00,2026-09-14T05:00:00Z,72,-74,UP,,,shadow70_only
KXBTC15M-26SEP142200-00,2026-09-15T02:00:00Z,71,-73,DOWN,,,shadow70_only
KXBTC15M-26SEP142230-30,2026-09-15T02:30:00Z,77,-79,DOWN,,,shadow70_only
